fips,pm25_2000,pm25_2001,pm25_2002,pm25_2003,pm25_2004,pm25_2005,pm25_2006,pm25_2007,pm25_2008,pm25_2009,pm25_2010,pm25_2011,pm25_2012,pm25_2013,pm25_2014,pm25_2015,pm25_2016,pm25_2017,pm25_2018
1111,16.13653315,13.31678177,13.01194751,13.21553867,13.12175414,13.80048343,13.47396409,13.55055249,11.21533149,9.717403315,10.78142265,10.19979282,9.322997238,8.564433702,8.901588398,7.786187845,8.031353591,8.089157459,7.940883978
1113,16.51893082,13.17553459,12.66566038,13.08805031,13.16641509,13.49490566,12.85893082,13.84955975,11.15018868,10.00459119,10.78842767,9.81327044,9.302515723,8.617610063,9.299811321,8.442264151,8.413962264,8.725157233,8.474025157
1115,16.9783455,14.22518248,13.96843066,14.19288321,13.46417275,14.48746959,14.34568127,14.15547445,11.75620438,10.19914842,11.45583942,11.19635036,9.946472019,9.244951338,9.277068127,8.289476886,8.727007299,8.48649635,8.455413625
1117,17.22512315,14.40960591,14.091133,14.80970443,14.29330049,15.19019704,14.73261084,15.12364532,12.34517241,10.80256158,11.84724138,11.25369458,10.28793103,9.342758621,9.656403941,8.965418719,9.144975369,9.738128079,9.238669951
1121,16.69123898,14.19232763,13.82975635,14.21461897,13.52856402,14.30181441,13.97314671,14.29040954,11.65811301,10.40518403,11.64774495,11.0745464,10.02903059,9.193157076,9.320580612,8.618455158,8.969673406,8.60305858,8.591964749
2261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4021,6.712420644,6.483142878,5.918246322,6.085742027,3.965479125,4.886996788,5.048816192,6.0944432,5.344857719,4.957412802,4.062252595,6.108880424,6.04036896,5.975113899,6.019852117,5.383000971,5.479259093,6.138255284,5.110493689
5009,9.649936387,8.484669211,8.251272265,8.847582697,7.8543257,9.355470738,8.451717557,8.778244275,7.524427481,6.893956743,8.043066158,8.174681934,5.837340967,6.605725191,5.910877863,5.653689567,4.957951654,5.621692112,5.609796438
5011,12.67076453,10.90880734,9.606055046,10.23749235,9.248256881,10.78697248,9.379021407,10.362263,8.919571865,7.63266055,8.813027523,8.846299694,7.908440367,7.564281346,8.02324159,7.137675841,6.321957187,6.945321101,7.870397554
5033,10.00193424,9.006125081,8.644874275,9.482140554,8.359703417,10.5521599,8.804771115,9.386718246,7.976853643,7.58420374,9.037072856,9.053578337,6.765441651,7.529851709,6.658349452,6.386976144,5.688201161,6.513539652,6.566602192
